trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,0,-129.10710715957916,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,3,-36.49027696429445,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",25,0,-72.2290770886325,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-33.056161026332916,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,0,-126.98326516058258,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-123.19021761058,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-83.38766486568865,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-95.29274570875636,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9559974818331}",20,0,-133.95815492992526,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-204.84966252930266,"{0: 16, 1: 3, 2: 5, 3: 4, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",25,0,-93.54246725989753,"{0: 12, 1: 6, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-88.43300027932777,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",25,0,-123.35394113799154,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,14,-115.48662187000625,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,0,-178.6941959372742,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",35,0,-223.88259343792393,"{0: 24, 1: 0, 2: 5, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-85.50167737902645,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-124.14728154521744,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",25,3,-178.1045824080814,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 4}",1
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-137.52356565457202,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
