trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,1,-51.134206470066516,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-94.05999209740715,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",25,0,-135.6967944083598,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-147.56317951419533,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,0,-176.8173840986333,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-89.76741087596785,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-62.5483291778074,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,1,-57.73398229160852,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-111.50033902776525,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-152.95466993214313,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",20,8,-16.113970154323304,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-216.45661544904996,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,0,-25.646804800192694,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,1,-82.10150110537217,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",30,0,-143.16716389699823,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-61.02196650743846,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-68.1843913981696,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,5,-109.52772570386382,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",20,0,-16.491283355286033,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,14,-21.324908240888778,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9003245225862656}",20,0,-160.98949905043122,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-163.2293237978965,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8913661439068313}",30,0,-76.320039753383,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-69.1666613462773,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8824969025845955}",30,0,-214.6994081333882,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 5}",0
26,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,3,-139.939319095139,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.8737159116880344}",30,0,-120.3219642187122,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,8,-10.781661135592476,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.8650222931107413}",25,9,-55.07614891679786,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-114.6321797843942,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8564151774836135}",30,0,-72.88135184039939,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8521437889662113}",30,2,-82.80262622196818,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.8478937040879159}",25,0,-174.4122994910592,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-100.2969977105402,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8394570207692074}",25,8,-3.731330941204445,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-122.86186338828598,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.8311042838521256}",20,0,-63.38297130129728,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-158.84623715556378,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.8228346580560184}",20,9,-17.49863564157597,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-108.21387966158224,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.8146473164114145}",20,0,-90.89673215767031,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.8105842459701871}",35,0,-60.051262482527754,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.8065414401773269}",20,2,-136.4119065757717,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 3}",1
44,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-76.8959089325997,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7985162187593771}",25,0,-62.06985783394842,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-42.24182153766315,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7905708496287356}",25,6,-76.7359002378888,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-98.2823778868204,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7827045382418681}",20,10,-31.049483034470843,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,0.2761909898197994,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.774916497961081}",25,5,-114.75409698502993,"{0: 9, 1: 0, 2: 9, 3: 2, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-130.23085719769355,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.7672059499758557}",25,0,-102.89886575413149,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-94.65478736182297,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7595721232249685}",20,10,0.8353501724810932,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
